Sale ID,Product Name,Category,Price,Quantity,Customer Age,Customer Gender,Discount,Payment Method,Region,Sale Date,Total Sales
1,Smartphone,Electronics,109.89,3,57,Male,0.23,Debit Card,South America,2024-02-13,253.85
2,Smartwatch,Electronics,370.32,3,19,Female,0.23,Debit Card,South America,2023-09-18,855.44
3,Smartwatch,Electronics,1308.22,3,27,Male,0.11,PayPal,Asia,2024-07-13,3492.95
4,Laptop,Electronics,328.62,5,52,Male,0.05,Debit Card,South America,2023-02-13,1560.94
5,Laptop,Electronics,829.22,8,21,Female,0.07,Credit Card,Africa,2024-01-07,6169.4
6,Smartphone,Electronics,1221.73,1,64,Male,0.06,Bank Transfer,Asia,2024-04-12,1148.43
7,Smartphone,Electronics,788.71,9,20,Female,0.2,Debit Card,Africa,2024-09-21,5678.71
8,Tablet,Electronics,715.71,4,53,Female,0.1,Bank Transfer,Asia,2024-09-18,2576.56
9,Smartphone,Electronics,1454.69,7,20,Male,0.22,Bank Transfer,Asia,2024-03-21,7942.61
10,Headphones,Accessories,1017.56,7,54,Female,0.08,Debit Card,Europe,2024-05-04,6553.09
11,Smartwatch,Electronics,404.55,4,26,Female,0.09,Debit Card,Asia,2024-11-04,1472.56
12,Smartphone,Electronics,217.79,6,42,Male,0.1,PayPal,Europe,2025-01-05,1176.07
13,Tablet,Electronics,589.2,1,45,Female,0.16,Bank Transfer,Africa,2023-04-19,494.93
14,Smartphone,Electronics,1301.34,2,56,Male,0.05,PayPal,Europe,2024-03-06,2472.55
15,Headphones,Accessories,947.76,6,44,Male,0.26,Bank Transfer,Europe,2024-04-06,4208.05
16,Smartwatch,Electronics,1301.31,5,19,Female,0.06,Debit Card,North America,2024-01-08,6116.16
17,Laptop,Electronics,310.86,8,53,Male,0.23,Credit Card,Asia,2023-12-19,1914.9
18,Smartphone,Electronics,1162.03,6,32,Male,0.23,Credit Card,South America,2023-11-26,5368.58
19,Tablet,Electronics,545.35,2,64,Female,0.21,Bank Transfer,Asia,2024-07-03,861.65
20,Smartphone,Electronics,1397.46,3,48,Male,0.22,Credit Card,Africa,2024-07-25,3270.06
21,Smartphone,Electronics,324.0,4,62,Female,0.12,PayPal,Asia,2023-03-12,1140.48
